symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,charges,pnl,holding_days
HUDCO,2022-12-27,2023-01-27,50.2,45.3,816,SL,98.82,-4097.22,31
LODHA,2023-01-20,2023-01-27,564.06,518.0,86,SL,115.08,-4076.24,7
PNB,2022-12-27,2023-01-30,54.22,49.15,788,SL,102.61,-4097.77,34
VEDL,2023-01-31,2023-02-03,304.36,291.45,309,SL,212.96,-4202.15,3
LUPIN,2022-12-22,2023-02-13,761.59,718.0,91,SL,159.79,-4126.48,53
RECLTD,2023-02-01,2023-02-13,122.71,114.0,459,SL,131.85,-4129.74,12
HINDZINC,2023-02-03,2023-02-15,349.24,324.2,159,SL,130.16,-4111.52,12
IRFC,2022-12-27,2023-02-20,30.95,28.2,1176,NO_TARGET,89.77,-3323.77,55
INDIANB,2022-12-27,2023-02-20,293.36,285.1,105,NO_TARGET,80.11,-947.41,55
UNIONBANK,2022-12-27,2023-02-20,81.46,69.9,271,NO_TARGET,59.08,-3191.84,55
HAVELLS,2023-02-15,2023-02-27,1215.5,1169.1,86,SL,235.51,-4225.91,12
GODREJCP,2023-03-01,2023-03-09,931.74,902.4,136,SL,283.2,-4273.44,8
LTF,2023-03-09,2023-03-10,92.56,90.0,1562,SL,321.6,-4320.32,1
MPHASIS,2023-01-24,2023-03-13,2074.62,1959.95,34,SL,162.51,-4061.29,48
INDHOTEL,2023-03-15,2023-03-27,318.33,306.7,343,SL,245.51,-4234.6,12
HAVELLS,2023-03-01,2023-03-28,1212.03,1152.65,67,SL,185.36,-4163.82,27
AUROPHARMA,2023-03-15,2023-03-28,462.45,499.09453125,225,SL,246.71,7998.31,13
IGL,2023-03-29,2023-03-31,219.84,213.2,602,SL,295.29,-4292.57,2
ONGC,2023-02-17,2023-04-12,151.45,150.85,341,NO_TARGET,125.58,-330.18,54
TORNTPOWER,2023-03-29,2023-05-22,517.47,522.4,120,NO_TARGET,148.85,442.75,54
ABCAPITAL,2023-03-29,2023-05-22,149.85,162.3,377,NO_TARGET,140.9,4552.75,54
PETRONET,2023-03-31,2023-05-24,220.2,217.4,559,NO_TARGET,277.83,-1843.03,54
